;50.634445,3.048384;50.631068,3.042985;50.631682,3.042381;50.631936,3.041853;50.635331,3.046715;50.635378,3.047095;50.635121,3.047575;50.634485,3.054061;50.636339,3.053165;50.63176,3.049094;50.631164,3.049742;50.631512,3.046514;50.631246,3.044121;50.625615,3.047804;50.625355,3.050008;50.625567,3.048748;50.625472,3.048837;50.628224,3.053944;50.630734,3.054799;50.631658,3.051604;50.625386,3.034915;50.62791,3.034573;50.623975,3.040876;50.626337,3.045418;50.627615,3.046426;50.627868,3.046266;50.627351,3.046834;50.628954,3.038573;50.627441,3.045699;50.627978,3.047357;50.633589,3.059981;50.637043,3.058569;50.63446,3.054171;50.634965,3.053704;50.635384,3.054206;50.627073,3.066804;50.627066,3.042964;50.645411,3.059484;50.63277,3.042354;50.631574,3.040774;50.633207,3.054728;50.633179,3.054345;50.633433,3.055845;50.632866,3.053006;50.632438,3.050614;50.635058,3.050859;50.628832,3.049834;50.629149,3.051267;50.629083,3.05039;50.62929,3.049211;50.629913,3.049549;50.626132,3.059704;50.626434,3.059438;50.626153,3.060522;50.624837,3.061384;50.625077,3.060735;50.62479,3.059539;50.624182,3.06045;50.623496,3.064907;50.623087,3.06643;50.624739,3.067318;50.621942,3.041473;50.622637,3.042049;50.62196,3.042472;50.6216,3.043302;50.622412,3.043979;50.623041,3.043312;50.622379,3.038301;50.619929,3.049727;50.625395,3.043248;50.630847,3.067337;50.640557,3.083593;50.638,3.056016;50.629979,3.051115;50.629705,3.051757
50.634445,3.048384;0.0;0.719;0.694;0.638;0.177;0.136;0.095;0.477;0.545;0.378;0.457;0.398;0.614;1.217;1.263;1.204;1.216;0.909;0.625;0.456;1.464;1.364;1.441;1.141;0.944;0.919;0.988;1.149;0.972;0.868;0.952;0.977;0.486;0.459;0.52;1.656;1.007;1.602;0.604;0.736;0.5;0.473;0.605;0.398;0.346;0.248;0.783;0.754;0.821;0.715;0.653;1.355;1.344;1.413;1.51;1.503;1.444;1.547;1.855;1.968;1.715;1.744;1.652;1.744;1.812;1.652;1.549;1.623;1.959;1.231;1.63;2.956;0.813;0.622;0.679
50.631068,3.042985;0.719;0.0;0.077;0.134;0.638;0.679;0.72;1.179;1.238;0.663;0.657;0.423;0.104;0.83;0.903;0.863;0.875;1.13;1.143;0.82;1.011;0.86;1.03;0.73;0.603;0.578;0.647;0.645;0.561;0.527;1.506;1.599;1.174;1.161;1.222;2.174;0.596;2.295;0.246;0.232;1.054;1.027;1.159;0.916;0.793;0.941;0.724;0.825;0.762;0.656;0.671;1.577;1.58;1.635;1.785;1.729;1.666;1.757;2.227;2.362;2.233;1.333;1.241;1.333;1.401;1.241;1.138;1.212;1.548;0.82;2.184;3.492;1.506;0.822;0.837
50.631682,3.042381;0.694;0.077;0.0;0.056;0.56;0.601;0.642;1.172;1.2;0.741;0.735;0.501;0.182;0.908;0.981;0.941;0.953;1.208;1.221;0.898;1.13;0.782;1.108;0.808;0.681;0.656;0.725;0.567;0.639;0.605;1.584;1.631;1.181;1.154;1.215;2.252;0.674;2.256;0.168;0.154;1.132;1.105;1.237;0.994;0.871;0.943;0.802;0.903;0.84;0.734;0.749;1.655;1.658;1.713;1.863;1.807;1.744;1.835;2.305;2.44;2.311;1.411;1.319;1.411;1.479;1.319;1.216;1.29;1.626;0.898;2.262;3.57;1.467;0.9;0.915
50.631936,3.041853;0.638;0.134;0.056;0.0;0.504;0.545;0.586;1.116;1.144;0.724;0.804;0.486;0.244;0.977;1.043;1.003;1.015;1.277;1.264;0.967;1.074;0.726;1.177;0.877;0.772;0.747;0.816;0.511;0.708;0.667;1.591;1.575;1.125;1.098;1.159;2.295;0.743;2.2;0.112;0.098;1.139;1.112;1.244;1.037;0.838;0.887;0.871;0.972;0.909;0.803;0.818;1.784;1.787;1.842;1.992;1.936;1.873;1.964;2.374;2.509;2.354;1.48;1.388;1.48;1.548;1.388;1.285;1.359;1.695;0.967;2.269;3.595;1.411;0.969;0.986
50.635331,3.046715;0.177;0.638;0.56;0.504;0.0;0.04;0.081;0.655;0.639;0.542;0.621;0.518;0.602;1.337;1.383;1.324;1.336;1.087;0.803;0.634;1.578;1.23;1.561;1.261;1.064;1.039;1.108;1.015;1.092;0.988;1.13;1.07;0.664;0.637;0.698;1.834;1.127;1.695;0.47;0.602;0.678;0.651;0.783;0.576;0.524;0.426;0.903;0.918;0.941;0.835;0.817;1.533;1.522;1.591;1.688;1.681;1.622;1.725;2.033;2.146;1.893;1.864;1.772;1.864;1.932;1.772;1.669;1.743;2.079;1.351;1.808;3.134;0.906;0.786;0.843
50.635378,3.047095;0.136;0.679;0.601;0.545;0.04;0.0;0.04;0.614;0.655;0.515;0.594;0.535;0.643;1.354;1.4;1.341;1.353;1.046;0.762;0.593;1.601;1.271;1.578;1.278;1.081;1.056;1.125;1.056;1.109;1.005;1.089;1.086;0.623;0.596;0.657;1.793;1.144;1.711;0.511;0.643;0.637;0.61;0.742;0.535;0.483;0.385;0.92;0.891;0.958;0.852;0.79;1.492;1.481;1.55;1.641;1.64;1.581;1.684;1.992;2.105;1.852;1.881;1.789;1.881;1.949;1.789;1.686;1.76;2.096;1.368;1.767;3.093;0.922;0.759;0.816
50.635121,3.047575;0.095;0.72;0.642;0.586;0.081;0.04;0.0;0.573;0.641;0.474;0.553;0.494;0.71;1.313;1.359;1.3;1.312;1.005;0.721;0.552;1.56;1.312;1.537;1.237;1.04;1.015;1.084;1.097;1.068;0.964;1.048;1.072;0.582;0.555;0.616;1.752;1.103;1.698;0.552;0.684;0.596;0.569;0.701;0.494;0.442;0.344;0.879;0.85;0.917;0.811;0.749;1.451;1.44;1.509;1.6;1.599;1.54;1.643;1.951;2.064;1.811;1.84;1.748;1.84;1.908;1.748;1.645;1.719;2.055;1.327;1.726;3.052;0.909;0.718;0.775
50.634485,3.054061;0.477;1.179;1.172;1.116;0.655;0.614;0.573;0.0;0.303;0.604;0.598;0.843;1.078;1.342;1.323;1.329;1.341;0.813;0.453;0.499;1.83;1.842;1.799;1.399;1.184;1.159;1.228;1.569;1.23;1.136;0.55;0.563;0.008;0.072;0.133;1.254;1.355;1.659;1.082;1.214;0.218;0.216;0.166;0.266;0.472;0.311;0.985;0.785;0.848;0.917;0.794;1.183;1.172;1.241;1.338;1.331;1.272;1.375;1.683;1.796;1.543;1.986;1.894;1.986;2.054;1.894;1.791;1.981;1.921;1.529;1.219;2.493;0.624;0.717;0.774
50.636339,3.053165;0.545;1.238;1.2;1.144;0.639;0.655;0.641;0.303;0.0;0.897;0.855;0.917;1.133;1.595;1.576;1.582;1.594;1.066;0.706;0.756;1.983;1.87;1.96;1.66;1.463;1.438;1.507;1.655;1.491;1.387;0.645;0.531;0.312;0.23;0.169;1.5;1.526;1.355;1.11;1.242;0.471;0.495;0.422;0.545;0.729;0.274;1.242;1.038;1.101;1.174;1.051;1.436;1.425;1.494;1.591;1.584;1.525;1.628;1.936;2.049;1.796;2.263;2.171;2.263;2.331;2.171;2.068;2.142;2.174;1.75;1.314;2.58;0.511;1.02;1.077
50.63176,3.049094;0.378;0.663;0.741;0.724;0.542;0.515;0.474;0.604;0.897;0.0;0.078;0.323;0.558;0.964;0.945;0.951;0.963;0.603;0.564;0.241;1.31;1.45;1.279;0.925;0.71;0.685;0.754;1.049;0.756;0.616;0.927;1.02;0.595;0.663;0.724;1.595;0.835;1.954;0.69;0.822;0.475;0.448;0.58;0.337;0.214;0.6;0.465;0.375;0.438;0.397;0.274;1.169;1.172;1.227;1.373;1.317;1.258;1.348;1.794;1.907;1.654;1.582;1.49;1.582;1.65;1.49;1.387;1.461;1.671;1.037;1.605;2.913;1.081;0.243;0.3
