;50.634445,3.048384;50.631068,3.042985;50.631682,3.042381;50.631936,3.041853;50.635331,3.046715;50.635378,3.047095;50.635121,3.047575;50.634485,3.054061;50.636339,3.053165;50.63176,3.049094;50.631164,3.049742;50.631512,3.046514;50.631246,3.044121;50.625615,3.047804;50.625355,3.050008;50.625567,3.048748;50.625472,3.048837;50.628224,3.053944;50.630734,3.054799;50.631658,3.051604;50.625386,3.034915;50.62791,3.034573;50.623975,3.040876;50.626337,3.045418;50.627615,3.046426;50.627868,3.046266;50.627351,3.046834;50.628954,3.038573;50.627441,3.045699;50.627978,3.047357;50.633589,3.059981;50.637043,3.058569;50.63446,3.054171;50.634965,3.053704;50.635384,3.054206;50.627073,3.066804;50.627066,3.042964;50.645411,3.059484;50.63277,3.042354;50.631574,3.040774;50.633207,3.054728;50.633179,3.054345;50.633433,3.055845;50.632866,3.053006;50.632438,3.050614;50.635058,3.050859;50.628832,3.049834;50.629149,3.051267;50.629083,3.05039;50.62929,3.049211;50.629913,3.049549;50.626132,3.059704;50.626434,3.059438;50.626153,3.060522;50.624837,3.061384;50.625077,3.060735;50.62479,3.059539;50.624182,3.06045;50.623496,3.064907;50.623087,3.06643;50.624739,3.067318;50.621942,3.041473;50.622637,3.042049;50.62196,3.042472;50.6216,3.043302;50.622412,3.043979;50.623041,3.043312;50.622379,3.038301;50.619929,3.049727;50.625395,3.043248;50.630847,3.067337;50.640557,3.083593;50.638,3.056016;50.629979,3.051115;50.629705,3.051757
50.634445,3.048384;0.0;517.0;500.0;460.0;128.0;99.0;69.0;343.0;392.0;272.0;329.0;287.0;442.0;876.0;909.0;867.0;876.0;655.0;450.0;328.0;1054.0;983.0;1037.0;822.0;679.0;661.0;711.0;828.0;699.0;625.0;686.0;704.0;350.0;331.0;374.0;1192.0;725.0;1153.0;435.0;531.0;360.0;341.0;436.0;286.0;249.0;179.0;564.0;543.0;591.0;514.0;470.0;976.0;967.0;1017.0;1087.0;1082.0;1040.0;1114.0;1335.0;1417.0;1234.0;1256.0;1189.0;1255.0;1304.0;1190.0;1115.0;1168.0;1410.0;886.0;1173.0;2128.0;585.0;448.0;489.0
50.631068,3.042985;517.0;0.0;56.0;97.0;460.0;489.0;519.0;849.0;891.0;477.0;473.0;305.0;75.0;598.0;650.0;621.0;630.0;814.0;823.0;591.0;728.0;620.0;741.0;526.0;434.0;416.0;466.0;465.0;404.0;380.0;1085.0;1152.0;845.0;836.0;880.0;1565.0;429.0;1653.0;177.0;168.0;759.0;740.0;835.0;659.0;571.0;678.0;521.0;594.0;548.0;472.0;484.0;1136.0;1138.0;1177.0;1285.0;1245.0;1200.0;1265.0;1603.0;1700.0;1607.0;960.0;893.0;960.0;1009.0;894.0;820.0;872.0;1114.0;591.0;1572.0;2515.0;1084.0;592.0;603.0
50.631682,3.042381;500.0;56.0;0.0;40.0;403.0;433.0;462.0;844.0;864.0;534.0;530.0;361.0;132.0;654.0;707.0;678.0;687.0;870.0;879.0;647.0;814.0;563.0;798.0;582.0;490.0;472.0;522.0;409.0;460.0;436.0;1141.0;1175.0;850.0;831.0;875.0;1622.0;485.0;1625.0;121.0;111.0;815.0;796.0;891.0;716.0;627.0;679.0;578.0;650.0;605.0;529.0;540.0;1192.0;1194.0;1234.0;1342.0;1301.0;1256.0;1322.0;1660.0;1757.0;1664.0;1016.0;950.0;1016.0;1065.0;950.0;876.0;929.0;1171.0;647.0;1629.0;2571.0;1056.0;649.0;659.0
50.631936,3.041853;460.0;97.0;40.0;0.0;363.0;392.0;422.0;804.0;823.0;521.0;579.0;350.0;176.0;704.0;751.0;722.0;731.0;919.0;910.0;696.0;773.0;523.0;847.0;632.0;555.0;537.0;587.0;368.0;509.0;480.0;1146.0;1134.0;810.0;791.0;834.0;1652.0;535.0;1584.0;80.0;71.0;820.0;801.0;896.0;746.0;603.0;639.0;627.0;700.0;654.0;578.0;589.0;1285.0;1287.0;1326.0;1434.0;1394.0;1349.0;1414.0;1709.0;1806.0;1694.0;1065.0;999.0;1065.0;1114.0;1000.0;925.0;978.0;1220.0;696.0;1633.0;2589.0;1016.0;698.0;710.0
50.635331,3.046715;128.0;460.0;403.0;363.0;0.0;29.0;58.0;472.0;460.0;390.0;447.0;373.0;434.0;963.0;996.0;954.0;962.0;783.0;578.0;457.0;1136.0;886.0;1124.0;908.0;766.0;748.0;798.0;731.0;786.0;712.0;814.0;771.0;478.0;459.0;503.0;1320.0;811.0;1221.0;338.0;434.0;488.0;469.0;564.0;415.0;377.0;307.0;650.0;661.0;678.0;601.0;589.0;1104.0;1096.0;1146.0;1215.0;1210.0;1168.0;1242.0;1464.0;1546.0;1363.0;1342.0;1276.0;1342.0;1391.0;1276.0;1202.0;1255.0;1497.0;973.0;1302.0;2257.0;652.0;566.0;608.0
50.635378,3.047095;99.0;489.0;433.0;392.0;29.0;0.0;29.0;443.0;471.0;371.0;428.0;386.0;463.0;976.0;1009.0;966.0;975.0;754.0;549.0;428.0;1153.0;915.0;1136.0;921.0;779.0;761.0;810.0;760.0;799.0;724.0;785.0;782.0;449.0;430.0;474.0;1291.0;824.0;1232.0;367.0;463.0;459.0;440.0;535.0;385.0;348.0;278.0;663.0;642.0;690.0;614.0;570.0;1075.0;1067.0;1116.0;1182.0;1181.0;1139.0;1213.0;1434.0;1516.0;1334.0;1355.0;1288.0;1355.0;1404.0;1289.0;1215.0;1267.0;1509.0;986.0;1273.0;2228.0;663.0;547.0;588.0
50.635121,3.047575;69.0;519.0;462.0;422.0;58.0;29.0;0.0;413.0;462.0;342.0;399.0;356.0;511.0;946.0;979.0;937.0;945.0;724.0;519.0;398.0;1124.0;945.0;1107.0;891.0;749.0;731.0;781.0;790.0;769.0;695.0;755.0;773.0;420.0;400.0;444.0;1262.0;794.0;1223.0;397.0;493.0;430.0;410.0;505.0;356.0;319.0;248.0;633.0;613.0;660.0;584.0;540.0;1045.0;1037.0;1087.0;1152.0;1152.0;1109.0;1183.0;1405.0;1487.0;1304.0;1325.0;1259.0;1325.0;1374.0;1259.0;1185.0;1238.0;1480.0;956.0;1243.0;2198.0;655.0;518.0;559.0
50.634485,3.054061;343.0;849.0;844.0;804.0;472.0;443.0;413.0;0.0;219.0;435.0;431.0;607.0;776.0;966.0;953.0;957.0;966.0;586.0;326.0;360.0;1318.0;1327.0;1295.0;1008.0;852.0;834.0;884.0;1130.0;885.0;818.0;396.0;406.0;6.0;52.0;96.0;903.0;975.0;1195.0;779.0;875.0;157.0;156.0;120.0;192.0;340.0;224.0;709.0;565.0;611.0;660.0;572.0;852.0;844.0;893.0;963.0;958.0;916.0;990.0;1211.0;1293.0;1111.0;1430.0;1364.0;1430.0;1479.0;1364.0;1290.0;1426.0;1383.0;1101.0;878.0;1795.0;450.0;517.0;558.0
50.636339,3.053165;392.0;891.0;864.0;823.0;460.0;471.0;462.0;219.0;0.0;646.0;616.0;660.0;815.0;1149.0;1135.0;1140.0;1148.0;768.0;509.0;545.0;1428.0;1347.0;1411.0;1195.0;1053.0;1035.0;1085.0;1192.0;1073.0;999.0;465.0;383.0;225.0;166.0;122.0;1080.0;1098.0;976.0;799.0;894.0;339.0;357.0;304.0;393.0;525.0;197.0;895.0;748.0;793.0;845.0;757.0;1035.0;1026.0;1076.0;1146.0;1141.0;1099.0;1173.0;1394.0;1476.0;1293.0;1629.0;1563.0;1629.0;1678.0;1563.0;1489.0;1542.0;1565.0;1260.0;946.0;1858.0;368.0;735.0;776.0
50.63176,3.049094;272.0;477.0;534.0;521.0;390.0;371.0;342.0;435.0;646.0;0.0;57.0;233.0;402.0;695.0;681.0;685.0;694.0;435.0;406.0;174.0;944.0;1044.0;921.0;667.0;511.0;493.0;543.0;755.0;544.0;444.0;668.0;735.0;429.0;478.0;522.0;1148.0;601.0;1407.0;497.0;592.0;342.0;323.0;418.0;243.0;154.0;432.0;335.0;270.0;316.0;286.0;198.0;842.0;844.0;884.0;989.0;948.0;906.0;971.0;1292.0;1374.0;1191.0;1139.0;1073.0;1139.0;1188.0;1073.0;999.0;1052.0;1203.0;747.0;1156.0;2098.0;779.0;175.0;217.0
50.631164,3.049742;329.0;473.0;530.0;579.0;447.0;428.0;399.0;431.0;616.0;57.0;0.0;228.0;397.0;642.0;628.0;632.0;641.0;378.0;338.0;170.0;955.0;1015.0;886.0;609.0;454.0;436.0;486.0;751.0;487.0;400.0;664.0;754.0;424.0;474.0;517.0;1086.0;590.0;1464.0;549.0;645.0;338.0;319.0;414.0;238.0;150.0;489.0;282.0;213.0;259.0;233.0;160.0;785.0;787.0;827.0;932.0;891.0;849.0;914.0;1229.0;1311.0;1128.0;1101.0;1038.0;1104.0;1153.0;1039.0;964.0;1048.0;1150.0;703.0;1149.0;2094.0;775.0;118.0;160.0
50.631512,3.046514;287.0;305.0;361.0;350.0;373.0;386.0;356.0;607.0;660.0;233.0;228.0;0.0;229.0;636.0;622.0;626.0;635.0;569.0;578.0;346.0;841.0;873.0;825.0;604.0;448.0;430.0;480.0;653.0;481.0;394.0;840.0;907.0;600.0;605.0;649.0;1320.0;512.0;1422.0;325.0;421.0;514.0;495.0;590.0;414.0;326.0;447.0;276.0;349.0;304.0;227.0;239.0;934.0;936.0;975.0;1083.0;1043.0;998.0;1063.0;1358.0;1456.0;1344.0;1043.0;977.0;1043.0;1092.0;977.0;903.0;955.0;1145.0;697.0;1327.0;2270.0;853.0;347.0;360.0
50.631246,3.044121;442.0;75.0;132.0;176.0;434.0;463.0;511.0;776.0;815.0;402.0;397.0;229.0;0.0;555.0;575.0;546.0;555.0;738.0;747.0;515.0;733.0;699.0;716.0;501.0;358.0;340.0;390.0;544.0;378.0;304.0;1009.0;1076.0;770.0;760.0;804.0;1489.0;404.0;1577.0;151.0;247.0;683.0;664.0;759.0;584.0;495.0;602.0;446.0;518.0;473.0;396.0;408.0;1060.0;1062.0;1101.0;1209.0;1169.0;1124.0;1189.0;1527.0;1625.0;1532.0;934.0;868.0;934.0;983.0;869.0;794.0;847.0;1089.0;565.0;1497.0;2439.0;1008.0;516.0;527.0
50.625615,3.047804;876.0;598.0;654.0;704.0;963.0;976.0;946.0;966.0;1149.0;695.0;642.0;636.0;555.0;0.0;155.0;114.0;105.0;511.0;640.0;701.0;879.0;969.0;532.0;190.0;201.0;219.0;169.0;705.0;194.0;251.0;972.0;1271.0;960.0;1019.0;1063.0;1065.0;378.0;2011.0;707.0;632.0;846.0;865.0;917.0;873.0;789.0;1037.0;359.0;458.0;413.0;408.0;503.0;640.0;642.0;682.0;790.0;749.0;704.0;770.0;1059.0;1157.0;1068.0;597.0;428.0;494.0;543.0;428.0;354.0;669.0;524.0;367.0;1260.0;2422.0;1292.0;516.0;518.0
50.625355,3.050008;909.0;650.0;707.0;751.0;996.0;1009.0;979.0;953.0;1135.0;681.0;628.0;622.0;575.0;155.0;0.0;92.0;83.0;375.0;626.0;687.0;944.0;1074.0;589.0;349.0;306.0;325.0;275.0;864.0;353.0;270.0;958.0;1257.0;946.0;1006.0;1049.0;942.0;537.0;2031.0;726.0;822.0;832.0;851.0;903.0;860.0;771.0;1056.0;345.0;444.0;399.0;394.0;490.0;517.0;520.0;559.0;667.0;626.0;582.0;647.0;926.0;1023.0;945.0;570.0;486.0;597.0;613.0;490.0;412.0;726.0;564.0;424.0;1137.0;2408.0;1278.0;502.0;504.0
