Addresses:;First Coordinate:;Second Coordinate :
20 Boulevard Vauban, 59800 Lille ;50.634445;3.048384
27-1 Rue Beaucourt Decourchelles, 59800 Lille;50.631068;3.042985
9 Rue Beaucourt Decourchelles, 59800 Lille;50.631682;3.042381
21 Rue Philippe-Laurent Roland, 59800 Lille ;50.631936;3.041853
1 Rue de Toul, 59800 Lille ;50.635331;3.046715
5b Rue Solférino, 59800 Lille ;50.635378;3.047095
11 Rue Solférino, 59800 Lille ;50.635121;3.047575
68 Rue Jacquemars Giélée, 59800 Lille;50.634485;3.054061
20 Boulevard de la Liberté, 59800 Lille;50.636339;3.053165
82 Rue Meurein, 59800 Lille;50.631760;3.049094
76 Rue Meurein, 59800 Lille;50.631164;3.049742
72 Rue du Port, 59800 Lille;50.631512;3.046514
107 Rue Colbert, 59800 Lille;50.631246;3.044121
15 Rue Durnerin, 59000 Lille;50.625615;3.047804
1 Rue Corneille, 59000 Lille;50.625355;3.050008
38 Rue du Chaufour, 59000 Lille;50.625567;3.048748
41 Rue du Chaufour, 59000 Lille;50.625472;3.048837
23 Rue de la Paix d'Utrecht, 59000 Lille;50.628224;3.053944
119 Rue Masséna, 59800 Lille;50.630734;3.054799
13 Rue Alphonse Mercier, 59800 Lille;50.631658;3.051604
116 Rue de la Bassée, 59000 Lille;50.625386;3.034915
31 Rue Edmond Bailleux, 59000 Lille;50.627910;3.034573
12 Rue Virginie Ghesquière, 59000 Lille;50.623975;3.040876
12 Rue Emile Desmet, 59000 Lille;50.626337;3.045418
22 Rue d'Antin, 59800 Lille;50.627615;3.046426
35 Rue d'Antin, 59800 Lille;50.627868;3.046266
19 Rue d'Antin, 59800 Lille;50.627351;3.046834
57 Rue Saint-Jean-Baptiste de la Salle, 59800 Lille;50.628954;3.038573
4 Rue de la Tranquillité, 59000 Lille;50.627441;3.045699
34 Rue Colbert, 59800 Lille;50.627978;3.047357
42 Rue Jean Sans Peur;50.633589;3.059981
122 Pl. Maurice Schumann, 59800 Lille;50.637043;3.058569
68 Rue Jacquemars Giélée, 59800 Lille;50.634460;3.054171
24 Rue Boileux, 59800 Lille;50.634965;3.053704
9 Rue Boileux, 59800 Lille;50.635384;3.054206
5 Rue Malus, 59000 Lille;50.627073;3.066804
9 Rue Henri Loyer, 59000 Lille;50.627066;3.042964
19 Rue du Metz, 59800 Lille;50.645411;3.059484
178 Rue Colbert, 59800 Lille;50.632770;3.042354
48 Rue Philippe-Laurent Roland, 59800 Lille;50.631574;3.040774
63 Rue Boucher de Perthes, 59800 Lille;50.633207;3.054728
82 Rue Boucher de Perthes, 59800 Lille;50.633179;3.054345
69 Rue Jacquemars Giélée, 59800 Lille;50.633433;3.055845
161 Rue Nationale, 59800 Lille;50.632866;3.053006
6 Rue Colson, 59800 Lille;50.632438;3.050614
33 Rue Patou, 59800 Lille;50.635058;3.050859
25 Rue Charles Quint, 59000 Lille;50.628832;3.049834
87 Rue Ratisbonne, 59800 Lille;50.629149;3.051267
94 Rue Ratisbonne, 59800 Lille;50.629083;3.050390
33 Rue Charles Quint, 59800 Lille;50.629290;3.049211
66 Rue des Stations, 59800 Lille;50.629913;3.049549
47 Rue Brûle Maison, 59000 Lille;50.626132;3.059704
36 Rue de Fleurus, 59000 Lille;50.626434;3.059438
67 Rue Brûle Maison, 59000 Lille;50.626153;3.060522
11 Rue d'Artois, 59000 Lille;50.624837;3.061384
24 Rue de Lens, 59000 Lille;50.625077;3.060735
80 Rue Caumartin, 59000 Lille;50.624790;3.059539
59 Rue Barthélémy Delespaul, 59000 Lille;50.624182;3.060450
52 Boulevard Victor Hugo, 59000 Lille;50.623496;3.064907
7 Rue du Bas Jardin, 59000 Lille;50.623087;3.066430
309 Rue Solférino, 59000 Lille;50.624739;3.067318
13 Rue Saint-Bernard, 59000 Lille;50.621942;3.041473
28 Rue Duhem, 59000 Lille;50.622637;3.042049
25 Rue d'Ennetières, 59000 Lille;50.621960;3.042472
43 Rue Mexico, 59000 Lille;50.621600;3.043302
10 Rue Newton, 59000 Lille;50.622412;3.043979
7 Rue Duhem, 59000 Lille;50.623041;3.043312
8 Rue Fulton, 59000 Lille;50.622379;3.038301
106 Rue Paul Lafargue, 59000 Lille;50.619929;3.049727
17 Rue de Brigode, 59000 Lille;50.625395;3.043248
15 Rue Malpart, 59800 Lille;50.630847;3.067337
20 Rue Saint-Firmin, 59800 Lille;50.640557;3.083593
14 Rue de la Halloterie, 59800 Lille;50.638000;3.056016
34 Rue Meurein, 59800 Lille;50.629979;3.051115
7 Rue Sainte-Barbe, 59800 Lille;50.629705;3.051757
